winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
0,2500005,"Southampton - Stoke City, 0 - 0",1619,Southampton,1639,Stoke City,0,0,1.7514285714285713,5.147142857142857,1,0,1
1624,2500007,"Tottenham Hotspur - Huddersfield Town, 2 - 0",1624,Tottenham Hotspur,1673,Huddersfield Town,2,0,1.1985714285714286,15.714285714285714,1,0,1
1624,2499993,"Crystal Palace - Tottenham Hotspur, 0 - 1",1628,Crystal Palace,1624,Tottenham Hotspur,0,1,6.941428571428571,1.5014285714285713,1,1,0
1612,2499995,"Liverpool - West Ham United, 4 - 1",1612,Liverpool,1633,West Ham United,4,1,1.2228571428571429,13.15857142857143,1,0,1
0,2499994,"Leicester City - Stoke City, 1 - 1",1631,Leicester City,1639,Stoke City,1,1,1.7185714285714286,5.067142857142857,1,0,1
1610,2499979,"Chelsea - West Bromwich Albion, 3 - 0",1610,Chelsea,1627,West Bromwich Albion,3,0,1.3657142857142857,8.65,1,0,1
1613,2499983,"Newcastle United - Manchester United, 1 - 0",1613,Newcastle United,1611,Manchester United,1,0,5.594285714285714,1.6357142857142857,1,1,0
1625,2499982,"Manchester City - Leicester City, 5 - 1",1625,Manchester City,1631,Leicester City,5,1,1.2142857142857142,13.5,1,0,1
1644,2499977,"Watford - Chelsea, 4 - 1",1644,Watford,1610,Chelsea,4,1,5.914285714285715,1.6085714285714285,1,1,0
1609,2499970,"Arsenal - Everton, 5 - 1",1609,Arsenal,1623,Everton,5,1,1.3142857142857143,10.635714285714286,1,0,1
0,2499974,"Leicester City - Swansea City, 1 - 1",1631,Leicester City,10531,Swansea City,1,1,1.7757142857142858,5.114285714285714,1,0,1
1611,2499976,"Manchester United - Huddersfield Town, 2 - 0",1611,Manchester United,1673,Huddersfield Town,2,0,1.1657142857142857,20.207142857142856,1,0,1
0,2499972,"Burnley - Manchester City, 1 - 1",1646,Burnley,1625,Manchester City,1,1,11.714285714285714,1.2942857142857143,1,1,0
1625,2499966,"Manchester City - West Bromwich Albion, 3 - 0",1625,Manchester City,1627,West Bromwich Albion,3,0,1.147142857142857,20.32857142857143,1,0,1
1659,2499962,"Chelsea - AFC Bournemouth, 0 - 3",1610,Chelsea,1659,AFC Bournemouth,0,3,1.2814285714285714,11.105714285714285,1,0,1
0,2499965,"Southampton - Brighton & Hove Albion, 1 - 1",1619,Southampton,1651,Brighton & Hove Albion,1,1,1.76,5.57,1,0,1
1612,2499959,"Huddersfield Town - Liverpool, 0 - 3",1673,Huddersfield Town,1612,Liverpool,0,3,10.821428571428571,1.3185714285714285,1,1,0
10531,2499960,"Swansea City - Arsenal, 3 - 1",10531,Swansea City,1609,Arsenal,3,1,6.885714285714286,1.5085714285714287,1,1,0
10531,2499957,"Swansea City - Liverpool, 1 - 0",10531,Swansea City,1612,Liverpool,1,0,10.851428571428572,1.3085714285714287,1,1,0
0,2499955,"Southampton - Tottenham Hotspur, 1 - 1",1619,Southampton,1624,Tottenham Hotspur,1,1,5.488571428571428,1.647142857142857,1,1,0
1625,2499954,"Manchester City - Newcastle United, 3 - 1",1625,Manchester City,1613,Newcastle United,3,1,1.1271428571428572,22.794285714285714,1,0,1
1609,2499949,"Arsenal - Crystal Palace, 4 - 1",1609,Arsenal,1628,Crystal Palace,4,1,1.4985714285714287,6.777142857142858,1,0,1
1611,2499951,"Burnley - Manchester United, 0 - 1",1646,Burnley,1611,Manchester United,0,1,6.811428571428571,1.5757142857142858,1,1,0
1610,2499950,"Brighton & Hove Albion - Chelsea, 0 - 4",1651,Brighton & Hove Albion,1610,Chelsea,0,4,6.218571428571429,1.6142857142857143,1,1,0
1611,2499944,"Manchester United - Stoke City, 3 - 0",1611,Manchester United,1639,Stoke City,3,0,1.2257142857142858,13.961428571428572,1,0,1
1624,2499946,"Tottenham Hotspur - Everton, 4 - 0",1624,Tottenham Hotspur,1623,Everton,4,0,1.2857142857142858,12.127142857142857,1,0,1
0,2499940,"Chelsea - Leicester City, 0 - 0",1610,Chelsea,1631,Leicester City,0,0,1.2942857142857143,11.121428571428572,1,0,1
0,2499926,"Tottenham Hotspur - West Ham United, 1 - 1",1624,Tottenham Hotspur,1633,West Ham United,1,1,1.2814285714285714,10.6,1,0,1
1624,2499937,"Swansea City - Tottenham Hotspur, 0 - 2",10531,Swansea City,1624,Tottenham Hotspur,0,2,10.534285714285714,1.3185714285714287,1,1,0
