winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
675,2565657,"Real Madrid - Las Palmas, 3 - 0",675,Real Madrid,714,Las Palmas,3,0,1.0714285714285714,25.428571428571427,1,0,1
687,2565649,"Real Sociedad - Eibar, 3 - 1",687,Real Sociedad,701,Eibar,3,1,1.5957142857142859,5.6,1,0,1
682,2565654,"Villarreal - M\u00e1laga, 2 - 0",682,Villarreal,683,M\u00e1laga,2,0,1.5314285714285714,6.12,1,0,1
676,2565653,"Barcelona - Sevilla, 2 - 1",676,Barcelona,680,Sevilla,2,1,1.207142857142857,11.821428571428571,1,0,1
674,2565656,"Valencia - Legan\u00e9s, 3 - 0",674,Valencia,712,Legan\u00e9s,3,0,1.5057142857142858,6.747142857142857,1,0,1
756,2565644,"Girona - Real Madrid, 2 - 1",756,Girona,675,Real Madrid,2,1,11.51142857142857,1.2442857142857142,1,1,0
680,2565639,"Sevilla - Legan\u00e9s, 2 - 1",680,Sevilla,712,Legan\u00e9s,2,1,1.6014285714285714,6.154285714285714,1,0,1
676,2565647,"Athletic Club - Barcelona, 0 - 2",678,Athletic Club,676,Barcelona,0,2,6.878571428571429,1.4585714285714286,1,1,0
0,2565642,"Atl\u00e9tico Madrid - Villarreal, 1 - 1",679,Atl\u00e9tico Madrid,682,Villarreal,1,1,1.53,6.862857142857143,1,0,1
674,2565638,"Deportivo Alav\u00e9s - Valencia, 1 - 2",696,Deportivo Alav\u00e9s,674,Valencia,1,2,5.591428571428572,1.6371428571428572,1,1,0
675,2565633,"Real Madrid - Eibar, 3 - 0",675,Real Madrid,701,Eibar,3,0,1.0914285714285714,24.12142857142857,1,0,1
682,2565630,"Villarreal - Las Palmas, 4 - 0",682,Villarreal,714,Las Palmas,4,0,1.522857142857143,6.402857142857143,1,0,1
676,2565629,"Barcelona - M\u00e1laga, 2 - 0",676,Barcelona,683,M\u00e1laga,2,0,1.07,29.73857142857143,1,0,1
684,2565634,"Real Betis - Deportivo Alav\u00e9s, 2 - 0",684,Real Betis,696,Deportivo Alav\u00e9s,2,0,1.59,5.885714285714285,1,0,1
675,2565619,"Getafe - Real Madrid, 1 - 2",698,Getafe,675,Real Madrid,1,2,10.142857142857142,1.2871428571428571,1,1,0
0,2565625,"Espanyol - Levante, 0 - 0",691,Espanyol,695,Levante,0,0,1.7842857142857143,4.8342857142857145,1,0,1
675,2565609,"Real Madrid - Espanyol, 2 - 0",675,Real Madrid,691,Espanyol,2,0,1.0985714285714288,22.5,1,0,1
676,2565615,"Barcelona - Las Palmas, 3 - 0",676,Barcelona,714,Las Palmas,3,0,1.0714285714285714,27.142857142857142,1,0,1
0,2565610,"Legan\u00e9s - Atl\u00e9tico Madrid, 0 - 0",712,Legan\u00e9s,679,Atl\u00e9tico Madrid,0,0,7.051428571428572,1.5685714285714285,1,1,0
680,2565613,"Sevilla - M\u00e1laga, 2 - 0",680,Sevilla,683,M\u00e1laga,2,0,1.34,8.79,1,0,1
0,2565612,"Celta de Vigo - Girona, 3 - 3",692,Celta de Vigo,756,Girona,3,3,1.7128571428571429,5.281428571428571,1,0,1
676,2565603,"Girona - Barcelona, 0 - 3",756,Girona,676,Barcelona,0,3,12.6,1.24,1,1,0
675,2565598,"Deportivo Alav\u00e9s - Real Madrid, 1 - 2",696,Deportivo Alav\u00e9s,675,Real Madrid,1,2,15.95,1.1785714285714286,1,1,0
679,2565601,"Atl\u00e9tico Madrid - Sevilla, 2 - 0",679,Atl\u00e9tico Madrid,680,Sevilla,2,0,1.5971428571428572,6.008571428571429,1,0,1
0,2565593,"Villarreal - Espanyol, 0 - 0",682,Villarreal,691,Espanyol,0,0,1.7357142857142858,5.047142857142857,1,0,1
680,2565590,"Sevilla - Las Palmas, 1 - 0",680,Sevilla,714,Las Palmas,1,0,1.4242857142857142,7.53,1,0,1
684,2565596,"Real Madrid - Real Betis, 0 - 1",675,Real Madrid,684,Real Betis,0,1,1.11,22.0,1,0,1
676,2565592,"Barcelona - Eibar, 6 - 1",676,Barcelona,701,Eibar,6,1,1.1114285714285714,22.605714285714285,1,0,1
674,2565595,"Valencia - M\u00e1laga, 5 - 0",674,Valencia,683,M\u00e1laga,5,0,1.54,6.452857142857143,1,0,1
675,2565583,"Real Sociedad - Real Madrid, 1 - 3",687,Real Sociedad,675,Real Madrid,1,3,4.82,1.67,1,1,0
679,2565586,"Atl\u00e9tico Madrid - M\u00e1laga, 1 - 0",679,Atl\u00e9tico Madrid,683,M\u00e1laga,1,0,1.2342857142857142,13.857142857142858,1,0,1
676,2565580,"Getafe - Barcelona, 1 - 2",698,Getafe,676,Barcelona,1,2,11.714285714285714,1.2485714285714287,1,1,0
692,2565573,"Celta de Vigo - Deportivo Alav\u00e9s, 1 - 0",692,Celta de Vigo,696,Deportivo Alav\u00e9s,1,0,1.7385714285714287,4.992857142857143,1,0,1
678,2565574,"Athletic Club - Girona, 2 - 0",678,Athletic Club,756,Girona,2,0,1.687142857142857,5.261428571428572,1,0,1
676,2565577,"Barcelona - Espanyol, 5 - 0",676,Barcelona,691,Espanyol,5,0,1.1714285714285713,17.26,1,0,1
680,2565575,"Sevilla - Eibar, 3 - 0",680,Sevilla,701,Eibar,3,0,1.592857142857143,5.7542857142857144,1,0,1
0,2565571,"Real Madrid - Levante, 1 - 1",675,Real Madrid,695,Levante,1,1,1.0714285714285714,31.642857142857142,1,0,1
0,2565564,"Real Madrid - Valencia, 2 - 2",675,Real Madrid,674,Valencia,2,2,1.1685714285714286,14.857142857142858,1,0,1
679,2565562,"Las Palmas - Atl\u00e9tico Madrid, 1 - 5",714,Las Palmas,679,Atl\u00e9tico Madrid,1,5,4.791428571428571,1.77,1,1,0
676,2565559,"Deportivo Alav\u00e9s - Barcelona, 0 - 2",696,Deportivo Alav\u00e9s,676,Barcelona,0,2,10.15,1.3071428571428572,1,1,0
675,2565555,"Deportivo La Coru\u00f1a - Real Madrid, 0 - 3",677,Deportivo La Coru\u00f1a,675,Real Madrid,0,3,9.501428571428571,1.3157142857142858,1,1,0
676,2565554,"Barcelona - Real Betis, 2 - 0",676,Barcelona,684,Real Betis,2,0,1.1942857142857142,14.428571428571429,1,0,1
0,2565550,"Athletic Club - Getafe, 0 - 0",678,Athletic Club,698,Getafe,0,0,1.5014285714285713,7.0442857142857145,1,0,1
0,2565552,"Sevilla - Espanyol, 1 - 1",680,Sevilla,691,Espanyol,1,1,1.6185714285714285,5.768571428571429,1,0,1
0,2565551,"Girona - Atl\u00e9tico Madrid, 2 - 2",756,Girona,679,Atl\u00e9tico Madrid,2,2,7.722857142857142,1.4685714285714286,1,1,0
