winner,wyId,label,team1_id,team1_name,team2_id,team2_name,team1_goals,team2_goals,avgHome,avgAway,UnderdogMatch,HomeUnderdog,AwayUnderdog
3782,2500773,"Saint-\u00c9tienne - Metz, 3 - 1",3782,Saint-\u00c9tienne,3777,Metz,3,1,1.52,6.765714285714286,1,0,1
3780,2500775,"Toulouse - Amiens SC, 1 - 0",3780,Toulouse,3789,Amiens SC,1,0,1.792857142857143,5.047142857142857,1,0,1
3767,2500768,"Dijon - PSG, 1 - 2",3804,Dijon,3767,PSG,1,2,21.254285714285714,1.127142857142857,1,1,0
3770,2500761,"Nantes - Metz, 1 - 0",3770,Nantes,3777,Metz,1,0,1.6514285714285715,5.937142857142857,1,0,1
3767,2500763,"PSG - Bordeaux, 6 - 2",3767,PSG,3772,Bordeaux,6,2,1.13,18.071428571428573,1,0,1
0,2500760,"Monaco - Montpellier, 1 - 1",19830,Monaco,3787,Montpellier,1,1,1.32,9.538571428571428,1,0,1
3771,2500750,"Olympique Marseille - Toulouse, 2 - 0",3771,Olympique Marseille,3780,Toulouse,2,0,1.5557142857142858,6.264285714285714,1,0,1
3772,2500746,"Bordeaux - Guingamp, 3 - 1",3772,Bordeaux,3785,Guingamp,3,1,1.7357142857142858,5.0928571428571425,1,0,1
0,2500749,"Olympique Lyonnais - Dijon, 3 - 3",3766,Olympique Lyonnais,3804,Dijon,3,3,1.2842857142857143,10.471428571428572,1,0,1
0,2500752,"Montpellier - PSG, 0 - 0",3787,Montpellier,3767,PSG,0,0,15.428571428571429,1.2,1,1,0
19830,2500748,"Lille - Monaco, 0 - 4",3776,Lille,19830,Monaco,0,4,4.77,1.7214285714285713,1,1,0
3767,2500742,"PSG - Olympique Lyonnais, 2 - 0",3767,PSG,3766,Olympique Lyonnais,2,0,1.17,16.5,1,0,1
3777,2500737,"Angers SCO - Metz, 0 - 1",3799,Angers,3777,Metz,0,1,1.53,6.93,1,0,1
19830,2500740,"Monaco - Strasbourg, 3 - 0",19830,Monaco,3779,Strasbourg,3,0,1.2042857142857142,14.25,1,0,1
3774,2500729,"Olympique Marseille - Rennes, 1 - 3",3771,Olympique Marseille,3774,Rennes,1,3,1.6728571428571428,5.168571428571428,1,0,1
3766,2500728,"Olympique Lyonnais - Guingamp, 2 - 1",3766,Olympique Lyonnais,3785,Guingamp,2,1,1.3885714285714286,8.145714285714286,1,0,1
3767,2500730,"Metz - PSG, 1 - 5",3777,Metz,3767,PSG,1,5,21.428571428571427,1.1228571428571428,1,1,0
19830,2500722,"Monaco - Olympique Marseille, 6 - 1",19830,Monaco,3771,Olympique Marseille,6,1,1.612857142857143,5.405714285714286,1,0,1
3772,2500718,"Bordeaux - Troyes, 2 - 1",3772,Bordeaux,3795,Troyes,2,1,1.427142857142857,7.7785714285714285,1,0,1
3767,2500724,"PSG - Saint-\u00c9tienne, 3 - 0",3767,PSG,3782,Saint-\u00c9tienne,3,0,1.092857142857143,26.285714285714285,1,0,1
3767,2500712,"PSG - Toulouse, 6 - 2",3767,PSG,3780,Toulouse,6,2,1.09,30.14142857142857,1,0,1
0,2500708,"Olympique Marseille - Angers SCO, 1 - 1",3771,Olympique Marseille,3799,Angers,1,1,1.5971428571428572,5.787142857142857,1,0,1
3783,2500706,"Lille - Caen, 0 - 2",3776,Lille,3783,Caen,0,2,1.6485714285714286,5.577142857142857,1,0,1
0,2500713,"Rennes - Dijon, 2 - 2",3774,Rennes,3804,Dijon,2,2,1.6114285714285714,5.965714285714285,1,0,1
3782,2500714,"Saint-\u00c9tienne - Amiens SC, 3 - 0",3782,Saint-\u00c9tienne,3789,Amiens SC,3,0,1.5357142857142858,7.03,1,0,1
0,2500707,"Olympique Lyonnais - Bordeaux, 3 - 3",3766,Olympique Lyonnais,3772,Bordeaux,3,3,1.6171428571428572,5.4314285714285715,1,0,1
19830,2500709,"Metz - Monaco, 0 - 1",3777,Metz,19830,Monaco,0,1,9.385714285714286,1.3242857142857143,1,1,0
3767,2500700,"Guingamp - PSG, 0 - 3",3785,Guingamp,3767,PSG,0,3,12.292857142857143,1.2557142857142858,1,1,0
19830,2500699,"Dijon - Monaco, 1 - 4",3804,Dijon,19830,Monaco,1,4,6.317142857142857,1.5342857142857143,1,1,0
3772,2500697,"Bordeaux - Metz, 2 - 0",3772,Bordeaux,3777,Metz,2,0,1.4628571428571429,7.492857142857143,1,0,1
3795,2500702,"Nice - Troyes, 1 - 2",3775,Nice,3795,Troyes,1,2,1.54,6.614285714285714,1,0,1
3771,2500689,"Olympique Marseille - Dijon, 3 - 0",3771,Olympique Marseille,3804,Dijon,3,0,1.4014285714285715,7.911428571428572,1,0,1
3766,2500688,"Olympique Lyonnais - Strasbourg, 4 - 0",3766,Olympique Lyonnais,3779,Strasbourg,4,0,1.3771428571428572,8.284285714285714,1,0,1
3767,2500693,"PSG - Amiens SC, 2 - 0",3767,PSG,3789,Amiens SC,2,0,1.122857142857143,22.857142857142858,1,0,1
19830,2500691,"Monaco - Toulouse, 3 - 2",19830,Monaco,3780,Toulouse,3,2,1.3071428571428572,9.967142857142857,1,0,1
